id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
7B1E4,F,2020,2019,1,MFWS,0,0,0.555,Black,0.288,52.4,51.2,83.9,NA,0DF4C,FD895
7B551,F,2020,2019,1,MFWS,0,0,0.645,Black,0.287,52.2,52.4,86.4,0.238681948,F5B5E,AD30A
7B630,M,2020,2019,1,MFWS,0,0,0.475,Black,0.197,50.2,49.7,82.7,0.228653295,C062B,FD3E9
7B774,F,2020,2019,1,MFWS,0,0,0.585,Fawn,0.299,52.1,52.9,83.3,NA,F1041,FD895
7B8A2,F,2019,2018,1,MFWS,0,0,NA,Black,0.294,NA,NA,NA,0.219484241,BBC6C,6
7B8A2,F,2020,2018,2,MFWS,1,1,0.62,Black,0.294,53.3,55.2,93.5,0.219484241,BBC6C,6
7BAD9,F,2020,2019,1,MFWS,0,0,0.595,Black,0.281,50.1,50.9,79.1,0.286532951,88C7E,FD3E9
7C5C5,F,2019,2018,1,MFWS,2,1,NA,Black,0.309,NA,NA,NA,0.253581662,C062B,0DD92
7C5C5,F,2020,2018,2,MFWS,0,0,0.705,Black,0.309,52.98,53.54,86.845,0.253581662,C062B,0DD92
7C60E,F,2020,2019,1,MFWS,0,0,0.625,Fawn,0.281,52.5,52.7,82.8,NA,11,FD536
7C63B,M,2020,2019,1,MFWS,0,0,0.505,Black,0.234,49.7,50.1,76.6,0.146704871,BBC6C,FD3E9
7C787,F,2020,2019,1,MFWS,0,0,0.613,Black,0.321,52.335,52.435,85.15,0.245558739,F5B5E,84125
83AFE,F,2018,2017,1,MFWS,1,1,NA,Black,0.293,NA,NA,NA,0.323495702,F1041,4
83AFE,F,2019,2017,2,MFWS,0,0,0.735,Black,0.293,51.05,52.3,83.3,0.323495702,F1041,4
83AFE,F,2020,2017,3,MFWS,0,0,0.778,Black,0.293,53.65,52.85,86.1,0.323495702,F1041,4
83B4C,M,2017,2016,1,MFWS,0,0,NA,NA,0.296,NA,NA,NA,0.271919771,3,2
83B4C,M,2018,2016,2,MFWS,0,0,0.955,NA,0.296,57.7,58.4,91.9,0.271919771,3,2
83B4C,M,2019,2016,3,MFWS,0,0,NA,NA,0.296,NA,NA,NA,0.271919771,3,2
83B4C,M,2020,2016,4,MFWS,0,0,NA,NA,0.296,NA,NA,NA,0.271919771,3,2
83C33,F,2019,2018,1,MFWS,0,0,NA,Fawn,0.442,NA,NA,NA,NA,7,83CAB
83C33,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.442,NA,NA,NA,NA,7,83CAB
83C84,F,2019,2018,1,MFWS,0,0,NA,Fawn,0.285,NA,NA,NA,NA,6,5
83C84,F,2020,2018,2,MFWS,0,0,NA,Fawn,0.285,NA,NA,NA,NA,6,5
83CAB,F,2018,2017,1,Upper Blessington,2,1,0.951,Fawn,0.317,50.75,50.425,89.97,NA,TasInd,TasInd
